Name,ID,Created,"Service Level",Framework,Owner
wind-lab,2aed879c-04c5-4524-ac3b-a6f45fed2aeb,"2017-03-17 00:39:45",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
asu-smart-nce,2b160e38-ae4b-408f-8c9b-b361d5006d0c,"2017-04-12 23:07:24",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
fse-diversity,2c766dda-74fa-4866-8331-92823bacb532,"2017-03-03 00:42:03",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
fulton-schools-divi-theme-test,2cd7eff7-1f01-4907-8c07-7d5453d45b42,"2016-05-17 14:30:23",free,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
lab-icet,321b701d-9884-4734-a36b-550d605bb085,"2017-02-13 18:43:08",free,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
startup-center,34ac76bc-6f33-4392-9e77-c4f4a95b7e22,"2017-03-23 21:29:25",free,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
construction-del-webb,367fe12d-c01b-4034-a1f7-077acbcbda5c,"2017-04-20 16:21:58",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
brain-center-neurotechnology,375fafe3-e545-4249-9515-f32c4e5fe510,"2017-03-23 21:22:55",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
lab-make,38213ffd-06f9-4a93-a26e-8a8c9d704b28,"2016-05-18 12:00:06",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
lab-hell,3943d27f-5af7-4ab1-9c45-4a34aced7344,"2016-05-18 11:39:21",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
fse-wpclass,3a15af3c-78cf-47b4-8005-e363d1335baa,"2017-05-02 21:50:46",free,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
academic-student-affairs-intranet,3b28a4d3-3201-4465-9e8a-d559f6f4caf9,"2017-03-15 17:50:45",free,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
candace-chan,3cb7abcd-d7f7-4ff6-bbd8-ab611e1a74e7,"2017-10-18 23:23:54",free,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
lab-eer,3dd0b8c6-f145-46a1-90ec-25d8b3be2c8c,"2016-05-18 11:11:31",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
qesst,4280bb16-1bc7-4dc3-bb81-c2bca1dff52c,"2016-07-22 23:02:36",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
lab-datasystemslab,45db21b4-3bee-4e4b-bd20-2ff706e5ed1c,"2016-05-17 22:12:45",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
wisca,464a9cbf-d313-4b0b-8da2-b359fe90a3e7,"2017-03-23 21:30:33",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
rege-bioengineering-lab,4ad20822-5057-4cdb-996d-030eefa78486,"2017-07-25 21:33:06",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
lab-bliss,4b207ed8-c004-44cd-83de-74e7734cb941,"2016-05-17 21:32:01",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
poly-home,4c4278bc-c6d0-4014-9243-ff8aeac9e580,"2016-08-09 23:49:34",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
tomnet-utc,4f53b5af-c887-449e-bafd-e9d3f7331189,"2017-02-15 17:09:06",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
faculty-assembly,50472163-b023-42d2-b227-4ae62c6fc7bf,"2017-03-02 23:42:44",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
sun-devil-engineering,52ec92a0-fc82-4436-9e59-55950095809c,"2017-11-02 22:54:29",free,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
fse-homecoming,5388bbdd-ec80-44a9-8cf8-b5a126aee659,"2017-03-23 21:28:44",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
faculty-ankit,5569dcce-33e2-47ef-9f1f-d36ae86b61be,"2017-07-05 18:28:26",free,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
fse-site-setup,56f74f9c-3979-4cbf-8e93-a53fb56d7eff,"2017-02-13 19:58:45",free,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
dewsc,571c862c-efa7-46d2-a2b2-30efca16ce96,"2016-05-20 17:45:46",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
e2c2,57b30912-8b22-47e5-a860-a6a850485ba7,"2017-03-17 00:38:53",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
4dms-center,58a1379e-3cc3-4832-876d-8746b363df72,"2017-04-03 22:05:45",basic,wordpress,54ec9511-5dff-4c9e-b5fb-fc65ca903803
